Preço;Condomínio;Tamanho;Quartos;Banheiros;Suítes;Vagas;Elevador;Mobiliado;Piscina;Novo;Distrito;Negociação;Latitude;Longitude;Região;Classe;Preço_m2
930;220;47;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.543138;-46.479486;Leste;Popular;19.79
1000;148;45;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.550239;-46.480718;Leste;Popular;22.22
1000;100;48;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.542818;-46.485665;Leste;Popular;20.83
1000;200;48;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.547171;-46.483014;Leste;Popular;20.83
1300;410;55;2;2;1;1;1;0;0;0;Artur Alvim;Aluguel;-23.525025;-46.482436;Leste;Popular;23.64
1170;0;50;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.548751;-46.477195;Leste;Popular;23.4
1000;180;52;1;2;1;1;1;0;0;0;Artur Alvim;Aluguel;-23.54984;-46.484137;Leste;Popular;19.23
900;150;40;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.53974;-46.49267;Leste;Popular;22.5
1000;0;65;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.548751;-46.477195;Leste;Popular;15.38
1000;0;100;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.548751;-46.477195;Leste;Popular;10.0
760;160;38;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.55185;-46.491169;Leste;Popular;20.0
800;150;48;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.545761;-46.479509;Leste;Popular;16.67
900;130;56;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.552073;-46.483411;Leste;Popular;16.07
1000;200;56;2;2;1;1;0;0;0;0;Artur Alvim;Aluguel;-23.541366;-46.483726;Leste;Popular;17.86
1800;418;54;2;2;1;1;1;0;1;0;Belém;Aluguel;-23.543955;-46.586619;Leste;Popular;33.33
1600;416;45;2;2;1;1;0;0;0;0;Belém;Aluguel;-23.544698;-46.602114;Leste;Popular;35.56
1500;337;55;2;2;1;1;1;0;0;0;Belém;Aluguel;-23.546104;-46.594579;Leste;Popular;27.27
1600;306;43;2;2;1;1;1;0;0;0;Belém;Aluguel;-23.534606;-46.595084;Leste;Popular;37.21
1600;150;80;2;2;1;1;1;0;0;0;Belém;Aluguel;-23.53962;-46.596337;Leste;Popular;20.0
1600;420;46;2;2;1;1;0;0;0;0;Belém;Aluguel;-23.544698;-46.602114;Leste;Popular;34.78
1900;800;67;3;2;1;1;1;1;0;0;Belém;Aluguel;-23.53838;-46.589441;Leste;Popular;28.36
2500;720;68;3;2;1;1;0;0;1;0;Belém;Aluguel;-23.538163;-46.591505;Leste;Popular;36.76
1400;743;63;2;2;1;1;0;0;1;0;Belém;Aluguel;-23.540023;-46.586898;Leste;Popular;22.22
1800;530;59;3;2;1;1;0;0;0;0;Belém;Aluguel;-23.544698;-46.602114;Leste;Popular;30.51
1500;2893;230;3;2;1;2;0;0;0;0;Belém;Aluguel;-23.540212;-46.585702;Leste;Popular;6.52
2300;857;113;3;2;1;2;1;0;0;0;Belém;Aluguel;-23.538134;-46.594059;Leste;Popular;20.35
2250;530;68;2;2;1;1;0;0;1;0;Belém;Aluguel;-23.538163;-46.591505;Leste;Popular;33.09
1700;445;65;2;2;1;1;0;0;1;0;Belém;Aluguel;-23.532871;-46.601244;Leste;Popular;26.15
1726;290;55;2;2;1;1;1;0;1;0;Belém;Aluguel;-23.534606;-46.595084;Leste;Popular;31.38
1700;450;50;1;2;1;1;1;0;1;0;Belém;Aluguel;-23.546089;-46.590325;Leste;Popular;34.0
1600;300;48;2;2;1;1;1;0;0;0;Belém;Aluguel;-23.546104;-46.594579;Leste;Popular;33.33
810;140;36;1;2;1;1;0;0;0;0;Belém;Aluguel;-23.538794;-46.605664;Leste;Popular;22.5
3000;811;107;3;3;1;2;1;0;1;0;Belém;Aluguel;-23.538767;-46.594706;Leste;Popular;28.04
6000;800;150;3;4;3;2;1;1;0;0;Belém;Aluguel;-23.550987;-46.590908;Leste;Padrão;40.0
