age,gender,country,level_education,job,programming_experience,programming_languages,programming_language_learning_first,computing_platform,used_TPU,used_ml_methods,primary_tool_analyze_data,salary
18-21,Man,Kenya,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Egypt,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,Python,R,A laptop,Never,Under 1 year,Other,$0-999
18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,C,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,Under 1 year,"Advanced statistical software (SPSS, SAS, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,R,A laptop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","2,000-2,999"
18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","300,000-499,999"
18-21,Man,Japan,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","7,500-9,999"
18-21,Man,Turkey,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,I do not use machine learning methods,"Local development environments (RStudio, JupyterLab, etc.)","4,000-4,999"
18-21,Man,Viet Nam,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
18-21,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Viet Nam,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
18-21,Man,Russia,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,India,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,A laptop,2-5 times,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
18-21,Man,Egypt,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","1,000-1,999"
18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","10,000-14,999"
18-21,Man,Turkey,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,Python,C,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","2,000-2,999"
18-21,Woman,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Advanced statistical software (SPSS, SAS, etc.)",$0-999
18-21,Man,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","2,000-2,999"
18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,United States of America,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","2,000-2,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,Other,Master’s degree,Data Scientist,1-3 years,Python,C++,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,1-2 years,Other,"3,000-3,999"
18-21,Man,Nepal,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,SQL,A personal computer / desktop,Never,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","2,000-2,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,C,A personal computer / desktop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","2,000-2,999"
18-21,Woman,Pakistan,Master’s degree,Data Scientist,10-20 years,Python,Python,A personal computer / desktop,2-5 times,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A personal computer / desktop,More than 25 times,Under 1 year,"Advanced statistical software (SPSS, SAS, etc.)",$0-999
18-21,Woman,India,Master’s degree,Data Scientist,1-3 years,Python,SQL,A laptop,Never,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Woman,Indonesia,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,1-2 years,"Advanced statistical software (SPSS, SAS, etc.)","4,000-4,999"
18-21,Man,Ukraine,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,I do not use machine learning methods,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,China,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,1-2 years,"Advanced statistical software (SPSS, SAS, etc.)",$0-999
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Spain,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Once,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,6-25 times,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
18-21,Man,Viet Nam,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
18-21,Man,Russia,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
18-21,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,More than 25 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,Other,$0-999
18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
18-21,Man,United States of America,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","20,000-24,999"
18-21,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,2-3 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","40,000-49,999"
18-21,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
18-21,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,Python,MATLAB,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,Python,SQL,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","1,000-1,999"
18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,2-5 times,1-2 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","3,000-3,999"
18-21,Man,Russia,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","10,000-14,999"
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","4,000-4,999"
18-21,Woman,Kenya,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,2-5 times,2-3 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Viet Nam,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Advanced statistical software (SPSS, SAS, etc.)","1,000-1,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
18-21,Man,Italy,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","60,000-69,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Bangladesh,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
18-21,Man,Denmark,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","1,000-1,999"
18-21,Man,Other,No formal education past high school,Data Scientist,3-5 years,Python,Other,A personal computer / desktop,More than 25 times,3-4 years,"Advanced statistical software (SPSS, SAS, etc.)",$0-999
18-21,Man,Poland,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,Under 1 year,Other,"10,000-14,999"
18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Woman,Colombia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,Norway,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,2-5 times,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","20,000-24,999"
18-21,Man,Russia,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
18-21,Man,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
18-21,Man,Sri Lanka,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","2,000-2,999"
18-21,Man,United States of America,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
18-21,Woman,India,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,A laptop,2-5 times,Under 1 year,"Advanced statistical software (SPSS, SAS, etc.)","4,000-4,999"
18-21,Woman,China,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","2,000-2,999"
18-21,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","3,000-3,999"
18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
