 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano processamento
Período:Jan/2008-Nov/2021
"Unidade da Federação";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"Total"
"11 Rondônia";28678308,60;43168433,96;51784823,62;54267636,35;51181258,99;66472516,81;79095836,74;86163443,56;91955338,88;95261076,71;102091843,39;109113101,49;110011617,10;139485465,04;1108730701,24
"12 Acre";22365143,69;27339128,19;28773343,06;33510058,61;32929373,49;33605893,87;36039320,36;37262018,93;40487149,58;37245525,42;34432565,81;34709598,96;40018213,54;47551219,70;486268553,21
"13 Amazonas";95655211,98;105997335,28;114040833,27;121643071,13;124449598,86;129056584,80;121900696,54;151278739,06;147812237,69;160820207,41;175744827,43;189256198,89;210298047,43;248623630,49;2096577220,26
"14 Roraima";10983016,60;17116094,26;20249589,01;17108611,37;21279908,04;21540894,01;19757952,27;24556486,66;29133807,87;31338348,90;33851454,13;34320141,86;36868427,83;40649888,84;358754621,65
"15 Pará";269639839,22;317444388,93;320749087,16;321149377,64;315536309,93;340687749,39;342851637,96;353977050,33;357148898,98;388952636,23;410173716,47;410805540,79;447222369,54;489457734,83;5085796337,40
"16 Amapá";16355880,94;21871680,65;20736476,68;22010050,32;23197926,19;24101437,86;23354262,75;22053145,67;21916972,06;22366616,97;25843955,47;29370406,98;27872333,42;42821972,91;343873118,87
"17 Tocantins";61946604,58;75669357,12;80513033,67;83269998,85;86534591,54;89125614,87;88436272,97;78227511,70;78034121,80;72772161,78;62982094,00;82314133,11;92885843,76;108208994,34;1140920334,09
"21 Maranhão";174304121,61;215074441,27;237304510,94;247828815,64;260168410,88;287730036,64;301805294,56;311541016,04;307485045,93;333689604,72;351572006,86;366407811,12;375770394,56;464322504,58;4235004015,35
"22 Piauí";125324961,56;146491970,81;148868247,30;148248542,98;150000009,87;165825709,14;164802466,18;174857185,86;188677491,61;186604619,98;195934078,96;206820114,53;216335315,95;277027280,16;2495817994,89
"23 Ceará";336173822,14;405557699,57;411994714,69;420071589,40;426195922,41;477905999,53;510177372,22;527062987,37;540114355,29;551317375,87;573956797,72;607937295,27;636460960,19;817060245,36;7241987137,03
"24 Rio Grande do Norte";123103680,55;145904288,30;160171603,46;170233207,77;172064943,34;184889611,50;193227602,99;210853738,06;212854443,28;218447439,60;240919860,46;266652744,15;283182041,94;337050590,61;2919555796,01
"25 Paraíba";148131074,59;184161031,38;191712150,93;183856643,96;180091112,57;196189793,35;194470103,49;189634905,54;192764395,74;208882120,74;218267536,76;232234991,55;227946551,21;297100150,42;2845442562,23
"26 Pernambuco";368178903,99;438285002,54;457833056,84;506152167,44;541989486,37;645113247,98;703527971,01;717003467,19;733193554,40;792199747,81;800658730,01;819736634,40;815500708,80;1071964196,02;9411336874,80
"27 Alagoas";109226734,11;132886107,72;142837203,93;152529100,85;148620456,33;169991894,11;163585154,41;177761701,65;177582559,02;191840311,19;201009115,58;204786689,26;205569621,04;258495470,86;2436722120,06
"28 Sergipe";55438872,28;67738437,82;78521040,22;78823673,85;83200215,20;86017057,89;83949080,41;96666330,17;102263264,46;99807105,65;107312506,79;117487663,63;120241590,98;163257112,89;1340723952,24
"29 Bahia";476204799,63;591109057,21;616650968,67;646488530,95;673849510,16;712401313,44;757704806,91;785597108,46;810137241,08;821240562,79;845519121,44;879675393,50;914530938,68;1151091890,61;10682201243,53
"31 Minas Gerais";953038363,13;1159958411,42;1223766111,25;1321731004,61;1402515081,39;1517973272,78;1658840666,80;1674939603,04;1657939988,05;1718544163,79;1790290126,08;1889157110,44;1900169249,82;2454223481,74;22323086634,34
"32 Espírito Santo";135886506,76;173153479,47;185140019,93;207275860,71;220412665,91;238504840,47;253097937,91;267235078,66;296978830,46;309155832,58;303425629,23;319947622,99;234824817,51;113292006,39;3258331128,98
