Age,Gender,City,Position,Years of experience,Years of experience in Germany,Level,Main technology,Other technologies,Yearly salary,Yearly bonus + stocks,Yearly salary one year ago,Vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?
39.0,Female,Berlin,Software Engineer,10,10,Senior,Java,"Javascript / Typescript, SQL",70500.0,1000,68000.0,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No
26.0,Female,Munich,Data Scientist,6,2,Middle,Python,"Python, C/C++, SQL, Docker",60000.0,10000,60000.0,26,Full-time employee,Unlimited contract,English,1000+,Product,No
35.0,Female,Berlin,Reporting Engineer,3,2,Middle,Power BI,"Python, Javascript / Typescript, SQL, SAP / ABAP, Google Cloud, Azure",55000.0,3000,45000.0,31,Full-time employee,Unlimited contract,German,1000+,Product,No
30.0,Female,Berlin,QA Engineer,5,3,Middle,Python,"Python, Kubernetes, Docker, Ansible",50000.0,4000,50000.0,30,Full-time employee,Unlimited contract,German,101-1000,Product,No
30.0,Female,Munich,Mobile Developer,10,3.5,Senior,Swift,"Kotlin, Javascript / Typescript",65000.0,5000,65000.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
36.0,Female,Berlin,QA Engineer,14,7,Lead,Java,Kotlin,69000.0,6900,63000.0,30,Full-time employee,Unlimited contract,English,11-50,Product,No
26.0,Female,Berlin,Software Engineer,6,4,Senior,.NET,".NET, SQL, Azure, Docker",65000.0,1000,56000.0,27,Full-time employee,Unlimited contract,English,101-1000,Product,No
31.0,Female,Stuttgart,Data Scientist,4,2,Middle,R,"Python, R, Azure",65000.0,73000,62000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
30.0,Female,Frankfurt,QA Engineer,6,4,Senior,Bash,"Python, Java / Scala, SQL, AWS, Azure",70000.0,2000,70000.0,30,Full-time employee,Unlimited contract,German,1000+,Bank,No
35.0,Female,Berlin,Frontend Developer,12,5,Middle,JavaScript,"AWS, Docker",70000.0,0,70000.0,29,Full-time employee,Unlimited contract,English,101-1000,E-commerce,No
34.0,Female,Berlin,Software Engineer,9,3,Senior,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",78000.0,3000,65000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
29.0,Female,Munich,Software Engineer,5,4,Middle,"NodeJS, Typescript, AWS","Javascript / Typescript, Java / Scala, AWS",67000.0,5000,65000.0,31,Full-time employee,Unlimited contract,English,101-1000,Product,No
27.0,Female,Berlin,Data Scientist,3,3,Middle,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",58000.0,1000,55000.0,24,Full-time employee,Unlimited contract,English,51-100,Product,No
28.0,Female,Berlin,Software Engineer,3,3,Middle,JavaScript,"PHP, Javascript / Typescript",60000.0,0,55000.0,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No
31.0,Female,Munich,Software Engineer,2,2,Middle,Java,SQL,58000.0,3000,26000.0,28,Full-time employee,Unlimited contract,German,1000+,Product,No
34.0,Female,Berlin,QA Engineer,6,2,Senior,Ruby,"Ruby, Java / Scala, AWS, Kubernetes, Docker",67500.0,0,61400.0,30,Full-time employee,Unlimited contract,English,1000+,Product,No
27.0,Female,Munich,Frontend Developer,2,2,Middle,JavaScript,Javascript / Typescript,64000.0,0,50000.0,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No
40.0,Female,Berlin,Fullstack Developer,8,8,Senior,C#,"PHP, Javascript / Typescript, .NET, SQL, Azure, Kubernetes, Docker, React, Angular2+",57000.0,1500,54000.0,26,Full-time employee,Unlimited contract,German,51-100,Product,No
31.0,Female,Berlin,QA Engineer,11,1.5,Middle,JavaScript,"Ruby, SQL",57000.0,bvg only,55000.0,30,Full-time employee,Unlimited contract,English,101-1000,Startup,No
36.0,Female,Berlin,DevOps,1,3,Middle,Java,"Kubernetes, Docker",60000.0,5000,58000.0,26,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No
27.0,Female,Munich,Mobile Developer,1,1,Junior,"Kotlin, Java","Kotlin, Java / Scala",50000.0,0,50000.0,27,Full-time employee,Unlimited contract,English,11-50,Startup,No
36.0,Female,Munich,Frontend Developer,10,3,Middle,JavaScript,Javascript / Typescript,48000.0,0,40000.0,30,Part-time employee,Unlimited contract,German,101-1000,Product,No
29.0,Female,Berlin,Software Developer in Test,9,4,Lead,Java,"Javascript / Typescript, SQL, Docker",66000.0,0,60000.0,25,Full-time employee,Unlimited contract,English,101-1000,Startup,No
30.0,Female,Berlin,Data Scientist,6,5,Senior,Python,"Python, SQL, Google Cloud, Kubernetes, Docker",76000.0,10000,63000.0,27,Full-time employee,Unlimited contract,English,1000+,Product,No
37.0,Female,Berlin,Data Scientist,2,2,Middle,Python,"R, SQL, AWS",62000.0,0,58000.0,30,Full-time employee,Unlimited contract,German,101-1000,Publisher,No
26.0,Female,Berlin,Data Scientist,4,1,Middle,"Sql, BQ, tableau, gtm, ga","Python, Javascript / Typescript, SQL",45000.0,0,45000.0,25,Full-time employee,Temporary contract,English,101-1000,Startup,Yes
25.0,Female,Frankfurt,Software Engineer,3,2,Middle,Java,"Javascript / Typescript, SQL",53000.0,5000,48000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
36.0,Female,Berlin,Data Scientist,5,5,Senior,Python,"Python, Java / Scala, SQL, AWS",75000.0,0,75000.0,28,Part-time employee,Unlimited contract,English,51-100,Startup,No
27.0,Female,Berlin,Data Analyst ,1,1,Middle,"Python, SQL","Python, SQL",63000.0,0,42000.0,27,Full-time employee,Unlimited contract,English,1000+,Product,No
32.0,Female,Munich,Data Engineer,10,2,Middle,Python,"Python, SQL, AWS, Docker, Spark, Airflow",75000.0,0,70000.0,27,Full-time employee,Unlimited contract,English,11-50,Startup,Yes
28.0,Female,Munich,QA Engineer,8,4,Senior,Kotlin,"Kotlin, Java / Scala, AWS, Kubernetes, Docker",75000.0,0,64000.0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No
25.0,Female,Hamburg,working student (QA),1,1,Student,Ruby,"Java / Scala, SQL",12000.0,0,12000.0,12,working student,Temporary contract,English,1000+,Product,No
27.0,Female,Berlin,Backend Developer,5,"2,5",Middle,Kotlin,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes",65000.0,0,52000.0,30,Full-time employee,Unlimited contract,English,51-100,Product,No
26.0,Female,Dusseldorf,BI Consultant SAP/ Data Engineer,5,5,Middle,ABAP,"Python, SQL",65000.0,77000,46000.0,30,Full-time employee,Unlimited contract,German,up to 10,Startup,No
35.0,Female,Munich,Backend Developer,4,4,Middle,PHP,"PHP, Javascript / Typescript, Java / Scala",51000.0,4000,47000.0,30,Full-time employee,Unlimited contract,German,101-1000,Insurance,No
35.0,Female,Frankfurt,Software Engineer,1,1,Junior,ABAP,"SQL, SAP / ABAP",50000.0,0,50000.0,30,Full-time employee,Unlimited contract,German,51-100,Consulting / Agency,No
32.0,Female,Berlin,DevOps,9,5,Middle,"Terraform, Kubernetes, AWS, GCP, Ansible, Puppet","Ruby, Java / Scala, SQL, Go, AWS, Google Cloud, Kubernetes, Docker",74000.0,10000,65000.0,40,Full-time employee,Unlimited contract,English,101-1000,Product,No
24.0,Female,Prague,Software Engineer,3,0,Middle,Java,"Java / Scala, AWS, Azure, Kubernetes, Docker",29000.0,0,23000.0,20,Full-time employee,Unlimited contract,English,11-50,Startup,No
31.0,Female,Berlin,Software Engineer,1,1,Junior,React,"Python, AWS, Kubernetes, Docker, React",57000.0,1000,54000.0,30,Full-time employee,Unlimited contract,English,1000+,Retail,No
34.0,Female,Berlin,QA Engineer,1 (as QA Engineer) / 11 in total,11,Senior,Python,"AWS, Kubernetes, Docker",60000.0,2000,36000.0,28,Full-time employee,Unlimited contract,German,1000+,Product,No
33.0,Female,Berlin,Data Scientist,8,4,Senior,Python,"SQL, Google Cloud, Docker",77000.0,0,70000.0,27,Full-time employee,Unlimited contract,English,1000+,Product,No
26.0,Female,Berlin,Tech recruiting,"2,5","2,5",Middle,JavaScript,Python,40000.0,1000,33000.0,25,Full-time employee,Unlimited contract,English,101-1000,Product,No
32.0,Female,Berlin,QA Engineer,10,4,Lead,Java,"Python, Kotlin, .NET, SQL, Go, Docker",65000.0,6000,55000.0,33,Full-time employee,Unlimited contract,German,1000+,Product,No
25.0,Female,Berlin,support engineer,2,2,Middle,python ,"Python, Javascript / Typescript, Ruby, SQL",45000.0,45000,12000.0,26,Full-time employee,Unlimited contract,English,1000+,Startup,Yes
30.0,Female,Cologne,Data Scientist,8,7,Senior,"Python, cloud computing ","Python, SQL, AWS, Azure",85000.0,7000,83200.0,30,Full-time employee,Unlimited contract,both,1000+,Utilities,No
33.0,Female,Brunswick,Software Engineer,6,4,Middle,C++,Python,58000.0,6000,53000.0,30,Full-time employee,Unlimited contract,German,1000+,Product,No
27.0,Female,Munich,Backend Developer,6,4,Senior,Java,Python,85600.0,10000,75000.0,25,Full-time employee,Unlimited contract,English,101-1000,Product,No
