Timestamp,Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
24/11/2020 11:18:06,32.0,Female,Hamburg,Data Engineer,2,2,Junior,Aws Hadoop Postgre Typescript,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,,52500.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
24/11/2020 11:27:39,29.0,Female,Berlin,QA Engineer,7,1,Middle,,Javascript / Typescript,45000.0,2000,,,26,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
24/11/2020 11:28:58,28.0,Female,Berlin,Designer (UI/UX),7,7,Middle,Figma,,45000.0,,37000.0,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:30:38,33.0,Female,Berlin,Software Engineer,12,5,Senior,С#,"Python, C/C++, Javascript / Typescript, .NET, SQL",88000.0,35200,96000.0,20000,30,Full-time employee,Unlimited contract,English,1000+,Product,,,
24/11/2020 11:31:38,28.0,Female,Berlin,Designer (UI/UX),5,1,Senior,,,60000.0,,,,20,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:31:50,38.0,Female,Berlin,Backend Developer,12,6,Senior,,C/C++,70000.0,8000,63000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,
24/11/2020 11:32:24,28.0,Female,Berlin,Designer (UI/UX),7,7,Middle,Figma,,45000.0,,37000.0,,28,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:32:28,29.0,Female,Berlin,QA Engineer,8,5,Senior,,,60000.0,,52000.0,,28,Full-time employee,Unlimited contract,English,51-100,Startup,Yes,,
24/11/2020 11:35:25,39.0,Female,Berlin,Software Engineer,10,10,Senior,Java,"Javascript / Typescript, SQL",70500.0,1000,68000.0,,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,500
24/11/2020 11:44:02,26.0,Female,Munich,Data Scientist,6,2,Middle,python,"Python, C/C++, SQL, Docker",60000.0,10000,60000.0,60000,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:44:18,31.0,Female,Berlin,Analytics engineer,6,2,Middle,SQL,Python,60000.0,,50000.0,500,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,500
24/11/2020 11:46:15,32.0,Female,Berlin,QA Engineer,10,,Senior,Java,"Kotlin, Javascript / Typescript, SQL, Docker",61000.0,,55000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:48:46,35.0,Female,Berlin,Reporting Engineer,3,2,Middle,Power BI,"Python, Javascript / Typescript, SQL, SAP / ABAP, Google Cloud, Azure",55000.0,3000,45000.0,,31,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:48:57,27.0,Female,Hamburg,Account Managet,6,1,Senior,,,50000.0,,,,28,Full-time employee,Temporary contract,English,101-1000,Product,No,,
24/11/2020 11:49:06,32.0,Female,Berlin,Product Manager,8,8,No level,,,55000.0,,,,27,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
24/11/2020 11:50:47,31.0,Female,Munich,agile master ,14,7,Middle,none,,80000.0,,80000.0,,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,
24/11/2020 11:52:49,38.0,Female,Munich,QA Engineer,6,2,Middle,Java,,62000.0,,62000.0,,26,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 11:57:37,28.0,Female,Munich,QA Engineer,6,2,Middle,,,65000.0,3000,42000.0,,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,1600
24/11/2020 11:57:53,30.0,Female,Berlin,Software Engineer,8,2,Senior,"Scala, React.js","Javascript / Typescript, SQL, AWS, Kubernetes, Docker",75000.0,,65000.0,,35,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 11:59:20,32.0,Female,Kempten,Fullstack Developer,10,1,Middle,C#,"Javascript / Typescript, .NET, SQL",49000.0,,,,30,Full-time employee,Unlimited contract,English and German,51-100,Product,No,,
24/11/2020 11:59:38,26.0,Female,Munich,Data Scientist,3,1,Junior,Ml/Python,"Python, AWS, Docker",70000.0,12000,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:10:05,31.0,Female,Munich,QA Engineer,7,3,Senior,Java,"Python, Ruby",68000.0,,58000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,40.0,
24/11/2020 12:13:24,42.0,Female,Berlin,QA Engineer,20,1,Middle,python,"Python, Javascript / Typescript",55000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:14:23,40.0,Female,Munich,Software Engineer,20,7,Middle,Java,SQL,54000.0,,54000.0,,30,Full-time employee,Unlimited contract,German,101-1000,Behörde,No,,
24/11/2020 12:14:27,36.0,Female,Erlangen,Project Manager,14,2,Middle,,Python,62000.0,,36000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
24/11/2020 12:17:32,36.0,Female,Munich,Backend Developer,5,1,Middle,PHP,"Javascript / Typescript, Docker",60000.0,5000,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
24/11/2020 12:21:33,33.0,Female,Berlin,QA Engineer,6,0.5,Middle,Java,"Python, Kubernetes",60000.0,,,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
24/11/2020 12:29:35,33.0,Female,Berlin,QA Engineer,8,1.5,Senior,-,Python,50000.0,,42000.0,,24,Full-time employee,Unlimited contract,English,11-50,Startup,Yes,20.0,
